おじ,伯父,叔父
おしい,惜しい
おじいさん
おしいれ,押し入れ
おしえ,教え
おしえる,教える
おじぎ,御辞儀
おしきる,押し切る
おしこむ,押し込む
おじさん,伯父さん,叔父さん,小父さん
おしむ,惜しむ
おしゃれ
おしゃべり
おじゃまします
おじょうさん,お嬢さん
おしよせる,押し寄せる
おす,押す
おせじ,お世辞
せおせわになりました,お世話になりました
おせん,汚染
おそい,遅い
おそう,襲う
おそくとも,遅くとも
おそらく,恐らく
おそれ,恐れ
おそれいる,恐れ入る
おそれる,恐れる
おそろしい,恐ろしい
おそわる,教わる
おだいじに,お大事に
おたがい,お互い
おだやか,穏やか
おちこむ,落ち込む
おちつき,落ち着き
おちつく,落ち着く
おちば,落ち葉
おちる,落ちる
おつ,乙
おつかい,お使い
おっかない
おっしゃる
おっと,夫
おてあげ,お手上げ
おてあらい,御手洗い
おでかけ,お出かけ
おてつだいさん,お手伝いさん
おとうさん,おとうさま,お父さん,お父様
おとこのひと,男の人
おとしもの,落し物
おとす,落とす
おとずれる,訪れる
おとな,大人
おとなしい
おとも,お供
おどり,踊り
おとる,劣る
おどる,踊る
おとろえる,衰える
おどかす,驚かす
おどろき,驚き
おどろく,驚く
おないどし,同い年
おなか,～が痛い
おなじ,同じ
おにいさん,お兄さん
おねえさん,お姉さん
おねがいします,お願いします
おのおの,各々
おのずから,自ずから
おば,伯母,叔母
おばさん,伯母さん,叔母さん
おびえる,怯える
おびただしい
おびやかす,脅かす
おひる,お昼
おびる,帯びる
おふくろ,お袋
おぼえ,覚え
おぼえる,覚える
おぼれる,溺れる
おまいり,お参り
おまけ
おまたせしました,お待たせしました
おまちください,お待ちください
おまちどおさま,お待ちどおさま
おまわりさん,お巡りさん
おみや,お宮
おめでたい
おめでとう
おめにかかる,お目に掛かる
おもい,重い
おもいがけない,思い掛けない
おもいきり,思い切り
おもいこむ,思い込む
おもいだす,思い出す
おもいつき,思いつき
おもいっきり,思いっきり
おもいつく,思い付く
おもいで,思い出
おもう,思う
おもしろい,面白い
おもたい,重たい
おもちゃ
おもて,表
おもな,おもに,主な,主に
おもむき,趣
おもむく,赴く
おもわず,思わず
おもんじる,おもんずる,重んじる,重んずる
おや
おや,親
おやじ,親父
おやすみ
おやつ
おやゆび,親指
およぎ,泳ぎ
およぐ,泳ぐ
およそ
および,及び
およぶ,及ぶ
およぼす,及ぼす
おり,折り
おり,檻
オリエンテーション
おりかえす,折り返す
おりもの,織物
おりる,下りる
おりる,降りる
おる,居る
おる,折る
おる,織る
オルガン
おれ,俺
おれる,折れる
オレンジ
おろか,愚か
おろす,下す,降ろす
おろす,卸す
おろそか
おわり,終わり
おわる,終わる
おん,音
おん,恩
おんがく,音楽
おんけい,恩恵
おんしつ,温室
おんせん,温泉
おんたい,温帯
おんだん,温暖
おんちゅう,御中
おんど,温度
おんな,女
おんなのこ,女の子
おんなのひと,女の人
おんぶ
オンライン
おんわ,温和
か,可
か,蚊
か,課
カー
カーテン
カード
カーブ
カーペット
かい,会
かい,回
かい,貝
がい,害
かいあく,改悪
かいいん,会員
かいうん,海運
かいが,絵画
がいか,外貨
かいかい,開会
かいがい,海外
かいかく,改革
かいがら,貝殻
かいかん,会館
かいがん,海岸
がいかん,外観
かいぎ,会議
かいきゅう,階級
かいきょう,海峡
かいけい,会計
かいけつ,解決
かいけん,会見
かいご,介護
かいごう,会合
がいこう,外交
がいこく,外国
かいさい,開催
かいさつ,改札
かいさん,解散
かいし,開始
かいしゃ,会社
かいしゃく,解釈
かいしゅう,回収
かいしゅう,改修
かいじゅう,怪獣
がいしゅつ,外出
かいじょ,解除
かいじょう,会場
がいしょう,外相
かいすいよく,海水浴
かいすう,回数
かいすうけん,回数券
がいする,害する
かいせい,改正
かいせい,快晴
かいせつ,解説
がいせつ,概説
かいぜん,改善
かいそう,回送
かいそう,階層
かいぞう,改造
かいたく,開拓
かいだん,階段
かいだん,会談
かいつう,開通
かいてい,改定
かいてい,改訂
かいてき,快適
かいてん,回転
ガイド
かいとう,解答,回答
かいどう,街道
がいとう,該当
がいとう,街頭
ガイドブック
かいにゅう,介入
がいねん,概念
かいはつ,開発
かいばつ,海抜
がいぶ,外部
かいふく,回復
かいほう,解放
